Index Name,Date,Close,P/E,P/B,cagr_curve,cagr_dev,fwd_1m,fwd_3m,fwd_6m,fwd_1y,fwd_2y,fwd_3y,fwd_4y,fwd_5y,Year
NIFTY MIDCAP 50,2011-05-12,2463.65,16.42,2.03,4270.301520547354,-42.30735258047499,0.9477807318409637,-8.625413512471336,-16.42075781868366,-18.480709516367998,-14.894567004241688,6.218415765226393,29.68359953727193,35.447405272664525,2011
NIFTY MIDCAP 50,2011-05-13,2496.65,16.22,2.06,4271.782296327491,-41.55483995178304,-0.38651793403160495,-11.98806400576774,-17.52548414875934,-19.55820799871829,-16.019466084553315,7.704323793883794,29.87603388540645,33.160434982877064,2011
NIFTY MIDCAP 50,2011-05-16,2480.85,16.29,2.06,4276.227705235573,-41.98508192249476,-1.0319043876090839,-11.427534917467808,-20.22895378600076,-19.348207267670357,-13.10639498558962,13.946832738779058,34.70786222464075,34.232218795977175,2011
NIFTY MIDCAP 50,2011-05-17,2461.7,16.07,2.04,4277.710535987874,-42.45286165835655,-0.9302514522484318,-11.67485883738878,-21.009871227200705,-19.34841776008448,-11.772352439371158,22.588048909290336,35.755778527034174,35.65828492505181,2011
NIFTY MIDCAP 50,2011-05-18,2442.65,15.95,2.03,4279.193880928659,-42.917987173091056,-3.31811761816061,-13.604077538738668,-21.11231654146112,-19.024420199373637,-11.542791640226813,23.544101692833607,36.81452520827791,36.94143655456163,2011
NIFTY MIDCAP 50,2011-05-19,2427.75,15.85,2.01,4280.677740236229,-43.28584987418312,-2.724745134383688,-13.724642158377087,-22.143960457213463,-17.93018226753166,-10.999897023993421,24.302337555349606,37.65420656986922,35.23427041499332,2011
NIFTY MIDCAP 50,2011-05-20,2442.05,15.88,2.03,4282.162114088946,-42.971565883381786,-3.2943633422739205,-12.61440183452428,-22.5998648676317,-18.410761450420754,-11.52105812739298,24.17640916443151,37.06517065580146,34.2581028234475,2011
NIFTY MIDCAP 50,2011-05-23,2409.9,15.69,2.0,4286.618324702531,-43.78085900224778,-3.6599029005353056,-10.332378936885345,-22.735383210921622,-18.81198389974689,-15.085688202830006,32.51379725299803,38.325241711274316,34.87489107431843,2011
NIFTY MIDCAP 50,2011-05-24,2410.6,15.7,2.0,4288.104758520699,-43.78402264520227,-1.8688293370944908,-10.650875300755002,-21.43242346303824,-17.99966813241516,-14.353273044055426,29.077822948643494,38.28507425537211,33.98738903177634,2011
NIFTY MIDCAP 50,2011-05-25,2407.45,15.67,2.0,4289.591707776754,-43.87694298188223,-0.5981432636191664,-11.956634613387607,-21.410621196701896,-17.36069284928036,-13.084383891669615,29.246713327379602,38.46601175517665,36.3496645828574,2011
